scene,character,action,details,wait
Rheed na noite da hist¢ria,bust,enter,"Reed final, 1, 5, offsetX=-200, offsetY=0, easing=OutSine, mirror=Auto-Reverse, duration=20",true
Rheed na noite da hist¢ria,sistema,switch,"43, on",false
Rheed na noite da hist¢ria,Reed,talk,"Olha s¢ quem chegou atrasado! A gente estava te esperando...",true
Rheed na noite da hist¢ria,bust,exit,"1, offsetX=-200, offsetY=0, easing=InSine, duration=20",true
Rheed na noite da hist¢ria,Reed,move,"12,14 (rota; turn toward player)",true
Rheed na noite da hist¢ria,bust,enter,"Reed final, 1, 5, offsetX=-200, offsetY=0, easing=OutSine, mirror=Auto-Reverse, duration=20",true
Rheed na noite da hist¢ria,sistema,switch,"43, on",false
Rheed na noite da hist¢ria,Reed,talk,"Humm... acho que j  vi vocˆ antes! Seu nome ‚ Dulgarin, certo?",true
Rheed na noite da hist¢ria,bust,exit,"1, offsetX=-200, offsetY=0, easing=InSine, duration=20",true
Rheed na noite da hist¢ria,sistema,choice,"qualSeuNome (op‡äes: qualSeuNome1, qualSeuNome2)",true
Rheed na noite da hist¢ria,bust,enter,"Reed final, 1, 9, offsetX=-200, offsetY=0, easing=OutSine, mirror=Auto-Reverse, duration=20",true
Rheed na noite da hist¢ria,sistema,switch,"43, on",false
Rheed na noite da hist¢ria,Reed,talk,"Aha! Eu sabia! Parece que a mem¢ria deste velho anÆo ainda funciona bem!",true
Rheed na noite da hist¢ria,bust,enter,"CriancaOrc_, 2, 1, offsetX=-200, offsetY=0, easing=OutSine, mirror=Auto, duration=20",true
Rheed na noite da hist¢ria,sistema,switch,"44, on",false
Rheed na noite da hist¢ria,Crian‡a Orc,talk,"Como vocˆ sabia o meu nome?!",true
Rheed na noite da hist¢ria,sistema,switch,"43, on",false
Rheed na noite da hist¢ria,Reed,talk,"Sou um contador de hist¢rias! Conhe‡o bem os habitantes de toda Daratrine!!",true
Rheed na noite da hist¢ria,bust,exit,"1,2, offsetX=+200, offsetY=0, easing=InSine, duration=20",true
Rheed na noite da hist¢ria,bust,enter,"CriancaOrc_, 2, 5, offsetX=-200, offsetY=0, easing=OutSine, mirror=Auto, duration=20",true
Rheed na noite da hist¢ria,sistema,switch,"44, on",false
Rheed na noite da hist¢ria,Crian‡a Orc,talk,"Vocˆ quase acertou, miseravi! Eu disse quase. S¢ errou a pron£ncia, todas as letras e a pessoa. NÆo sou Dulgarin, meu nome ‚...",true
Rheed na noite da hist¢ria,bust,exit,"2, offsetX=-200, offsetY=0, easing=InSine, duration=20",true
Rheed na noite da hist¢ria,sistema,name input,"Actor 1, max 8",true
Rheed na noite da hist¢ria,bust,enter,"Reed final, 1, 5, offsetX=-200, offsetY=0, easing=OutSine, mirror=Auto-Reverse, duration=20",true
Rheed na noite da hist¢ria,sistema,switch,"43, on",false
Rheed na noite da hist¢ria,Reed,talk," um prazer te conhecer, \\N[1]! Agora, voltando … nossa hist¢ria...",true
Rheed na noite da hist¢ria,bust,exit,"1, offsetX=-200, offsetY=0, easing=InSine, duration=20",true
Rheed na noite da hist¢ria,Reed,move,"8,11 (rota; turn down)",true
Rheed na noite da hist¢ria,bust,enter,"Reed final, 1, 5, offsetX=-200, offsetY=0, easing=OutSine, mirror=Auto-Reverse, duration=20",true
Rheed na noite da hist¢ria,sistema,switch,"43, on",false
Rheed na noite da hist¢ria,Reed,talk,"Ah, Daratrine! Como eu amo essa cidade! Vocˆs sabiam que este lugar j  foi nada mais do que um ref£gio para soldados feridos? Por pouco, nÆo fomos riscados do mapa!",true
Rheed na noite da hist¢ria,Reed,talk,"Antes de qualquer coisa, preciso contar a hist¢ria de Gildrat, o Imp‚rio dos Anäes!",true
Rheed na noite da hist¢ria,Reed,talk,"Essa hist¢ria come‡a com um anÆo cabe‡a dura, chamado Thorin!",true
Rheed na noite da hist¢ria,Reed,talk,"Vamos, feche os olhos! E deixe essa antiga po‡Æo te transportar para a hist¢ria.",true
Rheed na noite da hist¢ria,bust,exit,"1, offsetX=-200, offsetY=0, easing=InSine, duration=20",true
Rheed na noite da hist¢ria,sistema,quest,"ShowDescriptionForQuest(""assistirNoiteHistoria"", 3)",false
Rheed na noite da hist¢ria,sistema,quest,"CompleteQuest(""assistirNoiteHistoria"")",false
Rheed na noite da hist¢ria,sistema,vari vel,"26 = 3",false
