scene,character,action,details,wait
opening,camera,cinematic,true,true
opening,camera,bgm,"play,Field1,70,true",true
opening,camera,var,"1,1",false
opening,camera,switch,"1,on",false
opening,kilin,focus zoom,in,true
opening,kilin,move,"10,8",true
opening,kilin,sound,Bell1,false
opening,kilin,turn,up,false
opening,kilin,balloon,1,true
opening,kilin,talk,"What a beautiful morning!",true
opening,camera,voice,Bell1,true
opening,mhordred,focus zoom,in,true
opening,mhordred,move,"13,8",true
opening,mhordred,sound,Bell2,false
opening,mhordred,turn,left,false
opening,mhordred,balloon,2,true
opening,mhordred,talk,"Kilin! You're up early!",true
opening,kilin,turn,right,false
opening,kilin,sound,Bell3,false
opening,kilin,focus zoom,in,true
opening,kilin,talk,"Hey! I'm not always late!",true
opening,mhordred,talk,"What about yesterday?",true
opening,kilin,balloon,3,true
opening,kilin,sound,Item1,false
opening,kilin,talk,"That was strategic sleeping!",true
opening,mhordred,talk,"Strategic sleeping?",true
opening,kilin,shake,true
opening,kilin,sound,Blow1,false
opening,kilin,talk,"My stomach is protesting!",true
opening,camera,flash,"255,255,255,30",true
opening,camera,sound,Lightning1,false
opening,mhordred,balloon,1,true
opening,mhordred,talk,"Whoa! What was that?",true
opening,camera,tone,"255,180,120,80,60",true
opening,camera,sound,Chime1,false
opening,kilin,talk,"Now everything has a warm glow!",true
opening,mhordred,talk,"That's quite cozy!",true
opening,kilin,talk,"Watch this magic trick!",true
opening,kilin,sound,Magic1,false
opening,kilin,transparent,true,false
opening,wait,1,true
opening,kilin,talk,"Ta-da! I'm invisible!",true
opening,mhordred,talk,"You're just transparent!",true
opening,kilin,transparent,false,false
opening,kilin,turn,right,false
opening,kilin,sound,Item1,false
opening,kilin,talk,"Fine! Watch this!",true
opening,kilin,teleport,"11,8",false
opening,camera,flash,"0,255,255,20",true
opening,camera,sound,Teleport1,false
opening,kilin,talk,"Teleportation!",true
opening,mhordred,turn,left,false
opening,mhordred,sound,Bell1,false
opening,mhordred,talk,"Impressive!",true
opening,mhordred,teleport,"12,8",false
opening,camera,sound,Teleport1,false
opening,mhordred,talk,"I can teleport too!",true
opening,kilin,talk,"Can you make the player disappear?",true
opening,kilin,sound,Magic1,false
opening,player,transparent,true,false
opening,wait,1,true
opening,mhordred,talk,"The player disappeared!",true
opening,kilin,talk,"And now they'll reappear!",true
opening,camera,sound,Teleport1,false
opening,player,teleport,"13,7",false
opening,player,turn,down,false
opening,player,transparent,false,false
opening,mhordred,balloon,3,true
opening,mhordred,sound,Item1,false
opening,mhordred,talk,"You win this round!",true
opening,kilin,balloon,1,true
opening,kilin,sound,Bell2,false
opening,kilin,talk,"Victory!",true
opening,mhordred,talk,"Lead the way!",true
opening,camera,bgm,"fadeOut,120",true
opening,camera,tone,"255,255,255,0,60",true
opening,camera,sound,Chime1,false
opening,kilin,move,"6,7",false
opening,mhordred,move,"7,7",true
opening,mhordred,sound,Bell3,false
opening,camera,cinematic,false,true
opening,camera,focus zoom,out,true
opening,camera,focus on,player,true
opening,camera,var,"2,1",false
opening,camera,switch,"2,on",false
opening,camera,callCommon,1,false
